node_id	node class (separated by tab)
1	BID
2	PRO
3	COM
4	VER
5	SEV
6	PRI
7	BID
8	PRO
9	COM
10	VER
11	SEV
12	PRI
13	BID
14	PRO
15	COM
16	VER
17	BID
18	COM
19	VER
20	BID
21	COM
22	VER
23	SEV
24	BID
25	VER
26	BID
27	PRO
28	VER
29	BID
30	COM
31	VER
32	BID
33	COM
34	VER
35	BID
36	PRO
37	BID
38	PRO
39	VER
40	SEV
41	BID
42	PRO
43	COM
44	VER
45	BID
46	COM
47	VER
48	BID
49	COM
50	VER
51	BID
52	COM
53	VER
54	BID
55	COM
56	VER
57	BID
58	VER
59	SEV
60	BID
61	COM
62	VER
63	BID
64	COM
65	VER
66	BID
67	COM
68	VER
69	BID
70	COM
71	VER
72	BID
73	VER
74	BID
75	VER
76	BID
77	VER
78	BID
79	VER
80	BID
81	COM
82	VER
83	BID
84	BID
85	COM
86	VER
87	BID
88	VER
89	BID
90	VER
91	BID
92	PRO
93	COM
94	VER
95	BID
96	COM
97	VER
98	BID
99	COM
100	VER
101	BID
102	PRO
103	VER
104	BID
105	BID
106	COM
107	VER
108	BID
109	PRO
110	COM
111	VER
112	BID
113	BID
114	COM
115	VER
116	BID
117	COM
118	VER
119	BID
120	VER
121	BID
122	VER
123	BID
124	COM
125	VER
126	BID
127	COM
128	VER
129	BID
130	PRO
131	COM
132	VER
133	BID
134	VER
135	BID
136	COM
137	VER
138	BID
139	COM
140	VER
141	BID
142	COM
143	VER
144	BID
145	COM
146	VER
147	BID
148	COM
149	VER
150	BID
151	VER
152	BID
153	COM
154	VER
155	BID
156	COM
157	VER
158	BID
159	VER
160	BID
161	COM
162	VER
163	BID
164	COM
165	BID
166	COM
167	VER
168	BID
169	COM
170	VER
171	BID
172	VER
173	BID
174	COM
175	VER
176	BID
177	VER
178	BID
179	VER
180	BID
181	COM
182	VER
183	BID
184	COM
185	VER
186	BID
187	VER
188	BID
189	COM
190	VER
191	BID
192	VER
193	BID
194	VER
195	BID
196	COM
197	VER
198	BID
199	VER
200	BID
201	VER
202	BID
203	VER
204	BID
205	VER
206	BID
207	COM
208	VER
209	BID
210	VER
211	BID
212	PRO
213	COM
214	VER
215	BID
216	COM
217	VER
218	BID
219	COM
220	VER
221	BID
222	COM
223	VER
224	BID
225	VER
226	BID
227	VER
228	BID
229	VER
230	BID
231	VER
232	BID
233	VER
234	BID
235	VER
236	BID
237	COM
238	VER
239	BID
240	COM
241	VER
242	BID
243	COM
244	VER
245	BID
